RS,celltype
1.6208009,NK cell
0.9534926,T cell
1.2785356,T cell
1.0950071,T cell
0.767948,B cell
1.4777073,T cell
1.2753922,Macrophage
1.4090338,NK cell
1.1452163,Plasma cell
1.4102575,B cell
1.2496755,B cell
0.831432,Plasma cell
1.683907,Macrophage
1.6605878,B cell
0.8566668,B cell
1.2167804,Plasma cell
1.3801297,NK cell
1.057409,Plasma cell
1.0143543,T cell
1.8767736,NK cell
0.9918156,Dendritic cell
1.0703372,pDC
1.5616072,B cell
1.4453002,Macrophage
1.352009,B cell
1.46568,B cell
2.1711137,Plasma cell
1.0037614,T cell
1.4703438,T cell
1.3931956,B cell
1.4004015,Macrophage
1.1823812,T cell
3.756522,Plasma cell
1.4693357,Plasma cell
1.0291095,T cell
2.1311598,NK cell
1.1613966,Macrophage
1.4257586,B cell
1.1371197,T cell
1.2262346,T cell
1.3719978,T cell
1.0263841,T cell
1.1518421,T cell
1.2769822,T cell
1.5525721,B cell
1.9699199,NK cell
1.5280704,NK cell
1.7022917,B cell
1.4430397,NK cell
0.7873793,Plasma cell
0.9252159,T cell
1.8269272,B cell
1.6442275,T cell
1.410417,T cell
1.3934757,T cell
1.6451612,NK cell
1.4022495,B cell
1.0256664,T cell
1.4298296,T cell
0.9603555,Macrophage
1.4654226,B cell
1.4763529,B cell
1.0182887,T cell
1.8157127,B cell
0.9838009,T cell
2.0154114,T cell
1.0240833,T cell
1.2473158,T cell
1.0095866,T cell
1.0529209,T cell
1.1152103,pDC
0.69341666,B cell
1.0541351,T cell
1.0657642,Plasma cell
1.1415795,Plasma cell
1.607129,Dendritic cell
1.5191375,Dendritic cell
1.1751682,T cell
1.2891105,T cell
0.9257394,Plasma cell
1.6398213,B cell
1.7704573,B cell
1.0080894,T cell
0.9223501,Plasma cell
1.7038355,T cell
1.0505582,T cell
1.6609279,B cell
0.94885707,T cell
1.7281636,B cell
1.2529012,T cell
1.5114157,NK cell
1.4683652,NK cell
1.0660633,Plasma cell
1.0235066,T cell
1.256273,T cell
1.0703027,Plasma cell
1.2309483,B cell
1.614045,T cell
1.17132,Plasma cell
1.309524,pDC
1.1938722,T cell
1.506448,B cell
1.5382841,NK cell
0.8664316,T cell
1.3310374,T cell
1.7113252,B cell
1.1716803,Plasma cell
0.96005654,T cell
1.1931891,T cell
0.7902591,B cell
0.9602678,T cell
1.0232792,B cell
1.8411533,Macrophage
1.5882189,B cell
1.0839475,B cell
1.2785691,Macrophage
1.1705282,T cell
1.3491691,T cell
1.6088343,B cell
0.9840588,T cell
1.2861849,Dendritic cell
1.8871235,Plasma cell
0.7781443,B cell
